Date,AAPL,ADBE,CVX,GOOG,IBM,MDLZ,MSFT,NFLX,ORCL,SBUX
1-Jun-10,32.588116,26.43,53.014076,222.69769300000002,104.859528,16.062217999999998,19.174389,15.521428,19.854185,11.000682000000001
1-Jul-10,33.329193,28.719998999999998,59.537323,242.667664,109.037598,16.756334,21.507647,14.65,21.917953,11.249669
2-Aug-10,31.495928000000003,27.700001,58.414536,225.235229,105.08040600000001,17.15789,19.662036999999998,17.931429,20.249075,10.457823
1-Sep-10,36.76252,26.15,63.910614,263.158173,114.476456,17.865786,20.516544,23.165714,24.894123,11.627388
1-Oct-10,38.994834999999995,28.15,65.132835,307.157166,122.549728,18.682077,22.342844,24.795713,27.289917,12.99719
1-Nov-10,40.312453999999995,27.799999,64.393883,278.133148,121.25990300000001,17.512638,21.291639,29.414285999999997,25.125671,13.984607
1-Dec-10,41.790729999999996,30.780001000000002,72.569366,297.282288,125.80306200000001,18.409662,23.525322,25.1,29.073328000000004,14.683836999999999
3-Jan-11,43.962146999999995,33.049999,75.496002,300.48046899999997,138.866837,17.860468,23.3736,30.582857,29.799183000000003,14.409629
1-Feb-11,45.76173,34.5,83.130943,307.007019,139.313385,18.602465,22.536688,29.524286,30.608590999999997,15.132679000000001
1-Mar-11,45.152802,33.16,86.127663,293.673676,140.337509,18.492435,21.52771,33.968571000000004,31.101677000000002,16.95429
1-Apr-11,45.362682,33.549999,87.69013199999999,272.32232700000003,146.80058300000002,19.807426,21.977087,33.238571,33.515423,16.610157
2-May-11,45.064696999999995,34.630001,84.71043399999999,264.77477999999996,146.030731,20.621187,21.344510999999997,38.685715,31.893711,16.941166
1-Jun-11,43.489253999999995,31.450001,83.038986,253.44345099999998,148.295593,20.950609,22.189415,37.527142,30.672764,18.184469
1-Jul-11,50.590412,27.709999,83.991791,302.147156,157.19937099999999,20.445131,23.38423,37.998573,28.551634000000004,18.460758
1-Aug-11,49.858402000000005,25.24,80.44854699999999,270.750763,149.253922,20.825727,22.844763,33.572857,26.20812,17.847031
1-Sep-11,49.403648,24.17,75.36150400000001,257.777771,151.82380700000002,20.136570000000003,21.376169,16.181429,26.833681,17.232414000000002
3-Oct-11,52.443115,29.41,85.503036,296.616608,160.29754599999998,21.096024,22.870525,11.725715,30.657543,19.575357
1-Nov-11,49.517658000000004,27.42,84.349571,299.994995,163.879547,21.677694,22.134188,9.218572,29.329081,20.171509
1-Dec-11,52.471619,28.27,87.286469,323.273285,160.288147,22.57695,22.462999,9.898571,23.996520999999998,21.345242000000002
3-Jan-12,59.141342,30.950001,84.595688,290.34533700000003,167.889374,23.144999,25.552095,17.171429,26.450426,22.23134
1-Feb-12,70.27829,32.889998999999996,90.203979,309.434448,172.157288,23.006007999999998,27.645195,15.818570999999999,27.425556,22.607792
1-Mar-12,77.677429,34.310001,88.625076,320.940948,182.588409,23.144722,28.098108,16.434286,27.341171000000003,26.020376000000002
2-Apr-12,75.660187,33.549999,88.087753,302.727722,181.21452299999999,24.277296,27.889072,11.448571000000001,27.622269,26.70941
1-May-12,74.850441,31.049999,81.999306,290.720734,169.512848,23.30304,25.590999999999998,9.062857000000001,24.869436,25.633244
1-Jun-12,75.66278100000001,32.369999,87.996414,290.325317,171.86792,23.698162,26.818386,9.784286,27.904128999999998,24.900064
2-Jul-12,79.129791,30.879998999999998,91.399498,316.801788,172.21942099999998,24.367012,25.836475,8.121428,28.432621,21.145441
1-Aug-12,86.558243,31.27,94.300392,342.887878,171.957504,25.471535,27.199026,8.531428,29.797762,23.257565
4-Sep-12,86.800262,32.439999,97.999763,377.627625,183.077148,25.558982999999998,26.263563,7.777143,29.618881,23.773252
1-Oct-12,77.460548,34.029999,92.68611899999999,340.490479,171.675095,24.616072,25.186899,11.32,29.318512,21.518288000000002
1-Nov-12,76.50200699999999,34.610001000000004,89.626816,349.534546,168.473206,24.004147,23.685518,11.672857,30.356169,24.418251
3-Dec-12,69.55999,37.68,91.704453,354.044037,169.785034,23.717634,23.765596,13.227143,31.607483000000002,25.246786
2-Jan-13,59.537144,37.830002,97.649048,378.223236,179.996063,25.898352,24.424023000000002,23.605715,33.684925,26.418974
1-Feb-13,58.031689,39.310001,100.11853,401.00100699999996,178.759872,25.758562,24.940231,26.868571999999997,32.480202,25.918148000000002
1-Mar-13,58.197345999999996,43.52,101.545738,397.492493,189.859497,28.78278,25.666908,27.040001,30.668367,26.910458000000002
1-Apr-13,58.213119999999996,45.080002,104.271973,412.697693,180.281952,29.562979,29.695024,30.867144,31.095236,28.748590000000004
1-May-13,59.518211,42.91,105.75039699999999,436.046051,186.027618,27.711178000000004,31.529413,32.32143,32.043839,29.936020000000003
3-Jun-13,52.477612,45.560001,101.951134,440.62564100000003,170.90538,26.939571,31.204179999999997,30.155714,29.131626,31.059689000000002
1-Jul-13,59.888763,47.279999,108.45553600000001,444.319305,174.419876,29.526829,28.764941999999998,34.925713,30.804610999999998,33.80011
1-Aug-13,64.905457,45.75,104.608788,423.873871,163.814789,28.960276,30.386908000000002,40.558571,30.33802,33.530228
3-Sep-13,63.510681000000005,51.939999,105.53821599999999,438.393402,166.43013,29.798428,30.277731,44.172855,31.585440000000002,36.597019
1-Oct-13,69.63195,54.220001,104.20053100000001,515.805786,161.064621,31.91334,32.215579999999996,46.068573,32.015254999999996,38.536941999999996
1-Nov-13,74.509857,56.779999,107.247795,530.325317,162.35424799999998,31.799529999999997,34.953289,52.257141,33.725922,38.856625
2-Dec-13,75.173126,59.880001,109.41131599999999,560.9158940000001,169.483475,33.61298,34.293274,52.595715000000006,36.564285,37.392227
2-Jan-14,67.077225,59.189999,97.779083,591.07605,159.64352399999999,31.194368,34.68745,58.475716000000006,35.376754999999996,33.924419
3-Feb-14,70.934898,68.629997,101.91731300000001,608.433411,168.232117,32.403675,35.381634000000005,63.66143,37.495525,33.976177
3-Mar-14,72.35025,65.739998,105.08096299999998,557.812805,174.882553,33.034172,37.856777,50.290001000000004,39.221218,35.134892
1-Apr-14,79.54160300000001,61.689999,110.922226,534.880005,178.49848899999998,34.085910999999996,37.311878,46.005714000000005,39.309307000000004,33.813385
1-May-14,85.802269,64.540001,109.435966,571.650024,168.47142,35.969479,38.077339,59.689999,40.405502,35.196896
2-Jun-14,88.17572,72.360001,116.352028,584.669983,165.647736,36.096092,38.784199,62.942856000000006,38.972752,37.186451
1-Jul-14,90.709122,69.25,115.184502,579.549988,175.151428,34.570095,40.142113,60.388573,38.951195,37.330624
1-Aug-14,97.73988299999999,71.900002,116.35225700000001,582.3599849999999,176.76638799999998,34.73325,42.517292,68.23428299999999,40.050587,37.518917
2-Sep-14,96.071152,69.190002,107.247215,588.409973,174.495895,33.033169,43.387665000000005,64.454285,36.916359,36.38578
1-Oct-14,102.984459,70.120003,107.813469,567.869995,151.120087,33.987434,43.939838,56.110001000000004,37.775494,36.433997999999995
3-Nov-14,113.898628,73.68,98.762024,549.080017,150.0905,37.78524,45.026917,49.512856,41.025828999999995,39.320099
1-Dec-14,105.71033500000001,72.699997,101.764709,530.659973,148.489365,35.158489,43.746086,48.801429999999996,43.502277,39.72681
2-Jan-15,112.203506,70.129997,93.010651,537.549988,141.89044199999998,34.103638000000004,38.048264,63.114284999999995,40.63279,42.380103999999996
2-Feb-15,123.51098600000002,79.099998,97.726128,562.630005,150.929001,35.748814,41.591328000000004,67.844284,42.504868,45.43103
2-Mar-15,119.63623799999999,73.940002,96.168816,554.700012,149.586899,35.076209999999996,38.565643,59.527142000000005,41.854977000000005,46.019024
1-Apr-15,120.328499,76.059998,101.73850300000001,548.77002,159.643234,37.292159999999996,46.134602,79.5,42.45919,48.18634
1-May-15,125.78408799999998,79.089996,95.295212,545.320007,159.31134,40.421711,44.735141999999996,89.15142800000001,42.332653,50.660107
1-Jun-15,121.101463,81.010002,89.253685,540.039978,152.74733,40.130886,42.148026,93.84857199999999,39.227543,52.278576
1-Jul-15,117.113991,81.989998,81.861366,657.5,152.118149,44.023018,44.582397,114.309998,39.022148,56.480755
3-Aug-15,109.361488,78.57,75.875786,647.820007,140.030304,41.320961,41.820564000000005,115.029999,36.237648,53.48838000000001
1-Sep-15,106.975632,82.220001,73.899025,638.369995,137.26548799999998,41.005852000000004,42.531665999999994,103.260002,35.289936,55.57082
1-Oct-15,115.89834599999999,88.660004,85.141266,737.3900150000001,132.63536100000002,45.207314000000004,50.584435,108.379997,38.098255,61.172874
2-Nov-15,115.225647,91.459999,86.598373,762.849976,133.248718,42.758907,52.579689,123.33000200000001,38.225773,60.213558
1-Dec-15,102.524529,93.940002,85.308685,778.01001,131.52839699999998,44.080826,53.672881999999994,114.379997,35.832371,58.879619999999996
4-Jan-16,94.81034100000001,89.129997,81.999138,761.349976,119.26631200000001,42.370281,53.295586,91.839996,35.763424,59.605438
1-Feb-16,94.688271,85.150002,80.12941,717.219971,126.509262,39.843796000000005,49.57613,93.410004,36.226345,57.281075
1-Mar-16,106.73362,93.800003,91.61488299999999,762.900024,146.22473100000002,39.611477,53.814655,102.230003,40.294178,58.747299
1-Apr-16,91.799339,94.220001,98.125877,707.880005,140.904846,42.415478,48.592009999999995,90.029999,39.40633,55.332671999999995
2-May-16,98.388046,99.470001,98.018005,748.849976,149.868225,43.92609,52.003006,102.57,39.742461999999996,54.203049
1-Jun-16,94.190842,95.790001,101.734932,703.530029,147.957581,45.118515,50.207428,91.480003,40.464153,56.40514
1-Jul-16,102.673927,97.860001,99.45431500000001,791.340027,156.574951,43.601677,55.613781,91.25,40.722141,57.323502000000005
1-Aug-16,105.102364,102.309998,98.638901,789.849976,156.2164,44.632732,56.730499,97.449997,40.900745,55.719654000000006
1-Sep-16,111.98701499999999,108.540001,100.933739,804.0599980000001,156.186905,43.714809,56.868720999999994,98.550003,38.975769,53.648621
3-Oct-16,112.472404,107.510002,102.728424,809.900024,151.113403,44.75042,59.15926700000001,124.870003,38.270115000000004,52.588333
1-Nov-16,110.0429,102.809998,110.502274,775.880005,160.947403,41.066032,59.896873,117.0,40.033211,57.709953000000006
1-Dec-16,115.32002299999999,102.949997,116.584061,792.450012,164.687836,44.330002,61.765544999999996,123.800003,38.299999,55.270943
3-Jan-17,121.10493500000001,113.82,110.75981100000001,823.830017,174.420883,44.43,64.737526,141.220001,40.23,55.649239
